식당이름,식당설명,식당설명요약,전화번호,소재지주소,좌석,주차,휴무일,분류
조선갈비 (안산선부점),"워터에이징 숙성 갈비와 냉면이 맛있는 집, 조선갈비 전통갈비장인과 냉면장인이 귀한 재료만을 사용해  맛의 깊이를 더욱 더 끌어올렸습니다.  * 어린이 놀이방 이용 가능",워터에이징 숙성 최상급 소고기 맛집,031-483-2020,경기도 안산시 단원구 선부광장로 77 (선부동 늘봄스위트빌2 201호 일부),,,,한식
광양참숯불구이,안산에서만 28년간 가장 맛있는 광양 한우그것도 특등급만 취급하는 고급 한우 맛집. 광양이 고향인 사장님의고향에 대한 애향심과 함께 맛도 품질도 최고인 광양 한우를 맛볼 수 있다.,90%가 단골이고 90%가 예약인 곳,031-419-9233,경기도 안산시 단원구 광덕동로 101 2층(고잔동),100석(룸7),공영주차장,명절,한식
경복궁삼계탕안산점,30년 간 내려온 경북궁 삼계탕만의 비법으로 한 가지 메뉴만 고집하여 만들어 낸 차별화된 진한 국물과 신선한 오이와 고추 그리고 직접 담근 깍두기와 고추장의 환상적인 궁합의 궁극적인 맛을 경험해 보십시오! 좋은 재료와 위생은 요리의 기본이고 맛과 서비스는 고객에 대한 신뢰라고 생각하며 내 아이가 먹는다고 생각하고 만들겠습니다.,,031-475-3988,경기도 안산시 단원구 광덕1로 163 101-104호 (동남레이크빌Ⅱ ),,,,한식
김앤김 - 돈가스,김앤김 - 돈가스대부도 맛집 하면 대부분 바지락칼국수인데 돈가스라?의아할 수 있지만 대기자 명단에 이름을 적고 기다리거나 더 늦으면 재료 소진으로발길을 돌려야 할 만큼 유명한 돈가스 맛집이다.,모든 메뉴가 이벤트인 돈가스 맛집,0507-1435-6589,경기도 안산시 단원구 대선로 384(대부북동),40석,전용,매주 수요일,한식
엉클짱왕해물찜,손님이 왕이다! 안녕하세요! 이번에 새로 개업한 엉클짱 왕해물찜탕 입니다. 선부동에서 이미 맛으로 유명한 엉클짱이 초지동에 2호점을 개업했답니다. 똑같은 맛과 더 좋은 서비스로 보답하겠습니다. 감사합니다.,선부동에서 이미 맛으로 유명한 엉클짱의 초지동 2호점,031-486-9388,경기도 안산시 단원구 초지동로 45 (초지동 2층 201 202 203호),,,,한식
신경화굴바다보쌈삼합,사장님 이름을 내 건 굴과 바다 보쌈 전문점.시내에서 벗어난 부곡동 한적한 곳에 위치한데도 단골들의 발길이 이어지며‘다른 곳은 안되어도 이집만은 잘된다’는 이야기를 듣는 곳이다.,"단골들이 주로 찾는 인기 맛집, 그 비결은 최상의 좋은 재료",031-419-8882,경기도 안산시 상록구 정재로 3(부곡동),"좌식 40석, 의자식 60석",주변,연중 무휴,한식
낙지촌,낙지전문점 낙지촌은 대부도 아일랜드CC에서 500M거리 아일랜드CC 정문에서 좌회전하시면  차량으로 5분 이내 거리에 위치하고 있습니다.,,032-880-1700,경기도 안산시 단원구 대선로 13 1층 (대부북동),,,,한식
콩밭 (안산점),"부드럽고 담백한 건강음식, 두부요리 전문점","부드럽고 담백한 건강음식, 두부요리 전문점",031-475-3434,경기도 안산시 단원구 쑥개길 7 (화정동 315-9 1층),,,,한식
화랑갈비,정원이 아름답고 갈비가 맛있는 갈비 전문점,갈비 전문점,031-410-7292,경기도 안산시 단원구 쑥개길 23 (화정동 319-6 ),,,,한식
연길왕꼬치,KBS V특공대 소문난 맛집 출연으로 이미 유명세를 치른 곳이다.연길진달래냉면 식당도 함께 운영하고 있어서 양꼬치와 중화요리를 모두 맛볼 수 있다.100석이 넘는 자리가 늘 만석이다.,가장 맛있는 6개월 된 양고기를 24시간 숙성한 양고기 전문점,031-494-6188,경기도 안산시 단원구 원본로1길 10-1(원곡동),"룸 4개 40석, 홀 72석",주변 및 공영주차장,"매주 2, 4 화요일",중식
대강더덕촌(월피동),강산이 3번 바뀐 역사만으로도 맛집 증명인 이곳은 어머니 손맛을 이어 젊은 사장님이 합세하여퓨전 더덕구이 한정식으로 더 많이 알려져 있다. 더덕은 손이 많이 가는 요리인데도 더덕구이전문점으로 경쟁력을 갖춘 이곳은 더덕의 잔뿌리로 청을 만들어 양념으로 사용하고 유자청을사용하는 등 또 다른 경쟁력은 화학조미료를 전혀 사용하지 않는다는 것이다. 먹고 나면 건강을위한 보약을 먹은 듯 힘이 솟는다.,30년 역사 더덕 구이 전문점!,031-409-3738,경기도 안산시 상록구 안산천서로 193 (월피동),56,주변,"매주 일요일, 명절",한식
제주삼육돈 (고잔점),신개념 돼지고기를 맛볼 수 있는 제주삼육돈 고잔점.대한민국 1% 제주돼지를 내고 있다는 젊은 대표의 자부심으로 인해기대되는 맛집인데 실제 맛을 보면 기대 그 이상이다.,먹는 방법도 재미있는 스토리텔링 맛집,031-403-3633,경기도 안산시 단원구 광덕2로 155-16(고잔동),88석,주변,연중 무휴,한식
와참치,"혼마구로 숙성참치 전문점 최상급의 혼마구로와 정성으로 준비한 다양한 요리로  인생 최고의 참다랑어 전문점이 되도록 최선을 다하겠습니다. 세련되고 넓은 아늑한 룸에서 사랑하는 분들,  지인들과 소중한 맛의 향연을 즐기세요!",혼마구로 숙성참치 전문점,031-410-3977,경기도 안산시 단원구 광덕대로 168 (고잔동 신화타운 117 118 119호),,,,일식
월수금통돼지 시청점,"안산시청 근처에 위치해 있으며 토요일, 일요일 가족 단위 모임이 필요하신 분들께서는  미리 전화 주시면 조용한 분위기에서 타인 방해 없이 오붓하게 저녁을 즐길 수 있습니다.",조용한 분위기 타인 방해 없이 오붓한 식사,031-410-7770,경기도 안산시 단원구 광덕대로 263 (브레스빌 111호),40석,지하주차장,"매달 첫째 주 일요일, 마지막 주 일요일",한식
제주삼육돈 (상록수 본점),제주여행 중에 맛본 흑돼지 맛을 잊지 못해 제주도까지 가지 않고도먹을 수 있는 제주돼지 맛집을 오픈하여10년 째 운영 중인 신개념 돼지고기 맛집이다.,잊지 못할 아이디어와 이벤트 고기 맛집,031-408-3633,경기도 안산시 상록구 각골로 74(본오동),88석,주변,연중 무휴,한식
남도목포맛집,목포 맛집이라는 상호에 대한 자부심과 긍지가 대단한 사장님은 목포라는 지명의 명예를생각하며 음식을 만든다고 하니 기대해도 되는 100% 신뢰 목포 맛집이다. 맛의 깊이가 남다른남도 목포의 맛을 통해 고향에 대한 향수를 느낄 수 있어서 주로 남도가 고향인 단골들이 많이찾지만 처음 오는 손님은 있어도 한 번만 온 손님은 없단다.,오리지널 목포 음식!,031-418-2728,경기도 안산시 상록구 선진4길 39 (사동),30석,주변,연중무휴,한식
홍록기파티하우스,"돌잔치, 가족 모임, 파티, 단체모임 등을 위한 최고의 장소라 자부합니다. 다양한 성격의 모임을 위한 테마가 있는 홀과 룸이 준비되어 있으며, 특히 아이들을 위한 전용룸과 키즈까페 등의 시설을 완비하였습니다. 고급스럽고 깔끔한 120여 가지의 전문 뷔페음식과 함께 소중한 한때가 더욱 빛날 것입니다. 고객을 위한 이벤트도 상시 준비하고 있으니 놓치지 마시기 바랍니다.",,,,,,,한식
광양참숯불구이,한우 최고등급인 1++급만을 사용합니다. 강원도 치악산 참숯과 한국 전통 놋쇠화로와 구리석쇠로 참숯에서 직접 구워 한우의 참맛을 선사합니다.,,031-419-9233,"경기도 안산시 단원구 광덕동로 101, 206호 (고잔동)","100평, 120석",30대,AM 11:00 ~ PM 10:30,한식
궁중삼계탕,우리나라에서 가장 오래된 40년 전통의 삼계탕전문점입니다.(등록 8132호) 특히 전체 메뉴에 산삼배양근을 첨가하여 귀한 산삼삼계탕을 드실 수 있습니다. 오랜 전통만큼 꾸준히 이어온 맛과 서비스로 모시겠습니다.,,031-502-9090,"경기도 안산시 상록구 석호공원로 69, 101호 (사동)","300㎡, 150석",50대 (점포 앞 무료공영주차장),,한식
상록한정식,"음식 하나하나마다 최고의 손맛을 자랑하는 ‘상록한정식’입니다. 천연감미료로 양념하고, 한상 한상마다 정성을 다하여 맛은 물론이고 건강까지 생각합니다. 고급스러운 전통 인테리어와 소품들, 솔향기가 가득한 야외 조경이 즐거움을 더합니다. “음식맛이 참 좋은 집”, “마음이 참 편안한 집”이 되도록 항상 노력합니다.",,031-500-4455,경기도 안산시 상록구 해안로 705 (사동),140평,주차 완비,"AM 11:30 ~ PM 10:00, 명절 휴무",한식
해미청,해미청은 안산에서 아귀찜과 해물찜이 가장 맛있는 음식점이다. 아귀찜은 재료의 신선함과 요리사 손맛이 더해져 쫄깃하고 매콤하고 감칠맛 나는 건강한 요리이다. 해미청은 어머니의 뒤를 이어 젊은 아들이 전통의 아귀찜 맛을 그대로 재현해내고 있는 식도락가들이 인정하는 아귀찜 전문점이다,아구찜 맛집,031-438-7789,경기도 안산시 상록구 각골로 47,"좌석 100석, 룸 40석",주차장 완비,명절,한식
우사미(초지동),양이 많고 재료를 아끼지 않아 ‘우리 사장님이 미쳤어요’의 줄임말을 상호로 사용할 만큼 맛과가격 모두 가성비 갑인 곳. 이곳은 소·돼지고기는 물론 요리와 식사를 다양하게 즐길 수 있는데그것은 사장님의 개발 요리 덕분이다. 대표 개발 메뉴는 이름만 들어도 불끈 힘이 솟는 맛과영양 모두를 갖춘 소고기 보신탕이다. 사장님의 끊임없는 개발로 인해 이곳의 메뉴는 가짓수가매우 많지만 무엇을 선택해도 탁월하다. 고기는 72시간 저온으로 숙성하여 부드럽고 육즙이가득하다. 양 또한 푸짐하여 3명이 가면 2인분만 시켜도 된다. 부족하면 더 주문하라는 곳.야채와 버섯을 추가해도 돈을 받지 않으니 ‘우사미’ 증명이다.,‘우리 사장님이 미쳤어요’의 줄임 ‘우사미’!,031-405-5857,"경기도 안산시 단원구 원포공원1로 67 (초지동, 비전타운)",104석,"지하, 공영",매주 일요일,한식
양양입암리막국수,강원도 양양에 있는 유명한 양양입암리막국수의 유일한 체인점으로한적한 곳에 위치하는데도 점심에는 200~300명 분 막국수를 내는 만큼줄 서 기다려야 하는 인생 맛집이다.,양양까지 가지 않아도 맛볼 수 있는 유명한 입암리막국수,031-502-6590,경기도 안산시 상록구 성호로 210(부곡동),"40석매주 월요일, 명절 주변",주변,"매주 월요일, 명절",한식
여울쌈밥,앞마당의 텃밭에서 야채를 직접 재배하여 요리합니다. 각종 다양한 야채들을 친환경으로 정성껏 재배하였기 때문에 진정한 웰빙요리라 자부합니다. 쌈야채 외에 각종 요리에 들어가는 재료들도 엄선하여 정성껏 준비합니다.,,031-316-3838,경기도 안산시 단원구 꽃우물1길 16-5 (화정동),"50㎡, 22석",주차 완비,"AM 11:00 ~ PM 11:00, 연중무휴",한식
오양순추어탕,"오양순추어탕은 기존의 추어탕에 우렁이가 들어간 특별한 추어탕입니다. 우렁이는 특유의 쫄깃한 식감뿐만 아니라 보양에도 매우 좋은 음식입니다. 미꾸라지와 우렁이의 결합을 통한 특별하고 맛있는 보양식입니다. 또한 고추와 미꾸라지를 결합한 고추추어튀김, 인삼튀김 등 새로운 추어의 맛을 느낄실 수 있습니다. 많이 찾아주세요.",,031-401-1778,경기도 안산시 상록구 안산천동로 256 1층(월피동),149.24 ㎡,가능,07:30~10:00,한식
33호할머니칼국수,"바지락칼국수, 해물파전",,032-886-9908,경기도 안산시 단원구 대부황금로 1280 (대부북동),,,,면집
고잔숯불갈비,"10년 전통의 안산 최고의 생고기 전문점입니다. 각종모임, 회식, 개별 연회석울 위한 룸이 완비되어 있으며(2층 40인석, 20인석) 청결한 위생과 만족스러운 서비스로 손님을 맞이하겠습니다.",,031-403-9991,"경기도 안산시 단원구 광덕4로 102, 121호 (고잔동)","65평, 100석",주차 완비,AM 10:00 ~ PM 11:30,한식
광양참숯불구이,한우 최고등급인 1++급만을 사용합니다. 강원도 치악산 참숯과 한국 전통 놋쇠화로와 구리석쇠로 참숯에서 직접 구워 한우의 참맛을 선사합니다.,,031-419-9233,"경기도 안산시 단원구 광덕동로 101, 206호 (고잔동)","100평, 120석",30대,AM 11:00 ~ PM 10:30,한식
장화로참숯불갈비(사동),가장 정직한 입맛이 남녀노소 조합인 가족 단위라는데 이곳은 가족들이 많이 찾는 곳이니 맛집인증이다. 육가공 전문가 사장님이 운영하는 이곳은 최상품의 고기만 사용하여 맛은 최상이다.밑반찬도 정갈하지만 간장게장의 맛은 따로 주문하고 싶을 만큼 독보적이고 고깃집에서 빼놓을수 없는 된장찌개 또한 맛있다. 면을 직접 뽑고 육수도 직접 끓여 진한 육수 또한 압권인 냉면맛집이기도 하다. 너무 달지도 짜지도 않은 양념 돼지갈비를 구워 냉면과 함께 먹으면 세상부러울 것이 없다. 주택가에 위치하는데도 손님들의 발길이 줄을 잇는다.,돼지갈비와 냉면 맛집!,031-504-9920,경기도 안산시 상록구 장화로 21 (사동),60,주변,"첫째 셋째 월요일, 명절",한식
고향순대감자탕,"15년 역사의 맛집으로 언제나 정성을 다하고 있습니다. 모든 음식은 주인이 직접 가공하고, 매일 신선한 순대로만 요리합니다. 진안 마이산 청정지역에서 생산된 우거지와, 조선시대 요리서인 음식디미방, 규합총서, 시의전서에 수록된 순대를 직접 만들어 제공합니다.",,031-406-0166,경기도 안산시 상록구 선진4길 35 (사동),,주차 완비,,한식
구곡산장,자연이 함께하는 아늑한 댕이골에 위치한 오리돌구이 전문점입니다. 신선한 오리를 엄선하여 매일 제공하고 있으며 오리로스를 위해 특별하게 제작된 돌구이판은 오리구이의 맛을 한층 돋우어 줍니다. 언제나 신선하고 맛있는 음식을 준비하고 최고의 서비스를 위해 노력합니다.,,031-419-5292,경기도 안산시 상록구 댕이길 12 (사동),64석,주차 완비,,한식
궁중삼계탕,우리나라에서 가장 오래된 40년 전통의 삼계탕전문점입니다.(등록 8132호) 특히 전체 메뉴에 산삼배양근을 첨가하여 귀한 산삼삼계탕을 드실 수 있습니다. 오랜 전통만큼 꾸준히 이어온 맛과 서비스로 모시겠습니다.,,031-502-9090,"경기도 안산시 상록구 석호공원로 69, 101호 (사동)","300㎡, 150석",50대 (점포 앞 무료공영주차장),,한식
김흥관힘센낙지 (빨간낙지마당),"남성에게는 스테미너, 여성에게는 피부미용에 탁월한 효능을 지닌 낙지요리 전문점입니다. 신선하고 생생한 재료만을 엄선하여 정성을 다해 요리하며,  넓은 공간에서 편안하게 식사를 즐기실 수 있습니다.",,031-410-3660,경기도 안산시 상록구 안산천동로2길 1 (월피동),,주차 완비,AM 10:30 ~ PM 10:30,한식
眞장어탕·구이,"모든 메뉴를 자체 개발하여 그 맛과 영양을 두루 인정받았습니다. 장어코스요리로 제7회 안산시 맛자랑대회에서 동상을, 제8회에서는 대상을 수상하였으며, 2008년 서울국제음식박람회 전국음식대전에서 농림수산식품부장관상을 수상하고 인증받았습니다. 앞으로도 더 좋은 음식을 연구, 개발하고 고객만족을 우선으로 노력하겠습니다.",,031-483-5482,경기도 안산시 상록구 시낭북로3길 1 (부곡동),120석,주차 완비,AM 11:00 ~ PM 11:00,한식
니뽕내뽕(안산중앙점),"다양한 퓨전 짬뽕이 있는 니뽕내뽕 안산중앙점입니다!  ""니뽕내뽕""은 전세계의 사람들이 즐겨먹는 면요리를 퓨전화한 브랜드입니다. 우리에게 피자나 스파게티는 더이상 낯선 음식이 아닌 것처럼 음식문화는 국적을 불문하고 넘어다니고 섞이면서 원래 모양이나 이름까지 변합니다. 짬뽕도 마찬가지입니다. 중국음식인 ""초마면""이 일본에서 ""참퐁""으로 이름이 바뀌었다가 우리나라에 들어오면서 ""짬뽕""이 된 것입니다.""니뽕내뽕""은 너랑나랑 먹는 짬뽕이라는 뜻입니다. 전세계 모든 사라들이 즐길 수 있는 면 요리를 짬뽕과 각 나라의 특색있는 면의 조화로 세계적인 면요리 브랜드를 세계 시장 속에 확산시킬 계획입니다.",,031-475-4555,"경기도 안산시 단원구 고잔로 102, 201호 (고잔동)",,,Open AM 11:30 / Break Time PM 03:30 ~ 04:30 / Last Order PM 09:30,중식
개성손만두요리전문점,"개성손만두를 찾아주셔서 감사드립니다. 매일 매일 신선한 재료와 정성껏 손으로 직접 빚어 고객님께 제공하고 있습니다. 맛은 물론 건강에도 좋은 영양만점의 손만두, 손만두전골입니다. 많이 찾아주십시오.",,031-475-8999,"경기도 안산시 상록구 예술광장1로 52, 108호 (월피동)",199.12㎡,가능,오전 11시 ~ 오후 10시,한식
교동중화반점,"전통 중화요리 손짜장 전문 자금성입니다.  중국요리명인으로 알려진 대표의 손맛, 직접 뽑은 면발, 신선한 재료 등  고객의 입맛과 건강을 위해 항상 노력하고 있습니다.",,031-487-5002,경기도 안산시 단원구 화정천동로8길 6 (와동),180평,15대 주차가능,AM 10:30 ~ PM 9:30,중식
대부맛집 청미,직접 재배한 싱싱한 유기농 농산물로 만든 건강한 밥상으로 모십니다. 짜지않고 비리지 않은 청미의 간장게장은 이미 많은 분들이 인정해주신 별미입니다. 바지락고추장찌개와 뚝배기는 30년 한식만을 고집한 청미의 손맛으로 깔끔하고 깊은 밥맛을 선사합니다.,,032-887-1108,경기도 안산시 단원구 대선로 36 (대부북동),90석,20대 가능,AM 9:00 ~ PM 9:00,한식
홍어한상(고잔동),홍어한상은 입구 출입문에서부터 반전이다. 고급 레스토랑인가 싶어 상호를 다시 확인하고들어서면 고급스럽고 심플한 실내 분위기에 저절로 옷매무새를 매만지게 된다. 품격을갖춰야만 할 것 같기 때문이다. 다른 반전은 홍어음식점은 주로 나이 드신 분들이 경영하는곳이 많은데 이곳은 20대 젊은 사장님이 반긴다. 건강과 맛이라는 홍어 매력에 빠져 어머니와함께 홍어전문점을 차렸단다. 홍어에만 집중하는 음식점인 만큼 한상차림 코스를 주문하면홍어특수부위+홍어삼합+홍어찜+홍어무침+홍어전+홍어탕 등 홍어의 모두를 제대로 맛볼 수있다. 홍어를 요리로 그것도 고급스럽게 탄생시킨 신개념 홍어요리 전문점이다.,차별화된 홍어 코스요리 전문점!,031-410-9131,"경기도 안산시 단원구 광덕3로 145-5, 2층 (고잔동)",56석(룸 포함),"지하, 공영","매주 일, 월",횟집
김가네낙지전문점,"저희 김가네 낙지전문점은 경기도 안산시 단원구 고잔동에 위치하고 있는 낙지전문점입니다. 낙지는 지방이 거의 없고 타우린과 무기질, 아미노산이 듬뿍 들어있어 조혈강장 작용을 하고 원기를 돋우는 역할을 하여 남녀노소 모두에게 좋은 재료입니다.  저희 김가네 낙지전문점은 건강한 음식문화를 조성하기 위해 신선한 재료만을 사용하고 있으며 고객 여러분께서 믿고 드실 수 있는 음식을 제공하기 위해 노력하고 있습니다. 김가네 낙지전문점에 오셔서 영양만점인 낙지요리 드시고 든든한 하루를 보내시길 바랍니다.  많은 이용바랍니다. 감사합니다.",,031-402-0552,"경기도 안산시 단원구 당곡로 33, 125~126호 (고잔동, 프라움시티)",183.02㎡,가능,10:00~22:00,한식
33호 할머니칼국수,"안녕하세요. 대부도에 위치한 33호 할머니칼국수입니다. 대부도의 맛, 바지락칼국수의 참 맛을 느낄 수 있습니다. 찾아주시면 정성껏 모시겠습니다.",,032-886-9908,"경기도 안산시 단원구 대부황금로 1297, 1층 (대부북동)",,가능,매일 09:00 - 21:00,면집
AW웨딩컨벤션,"AW컨벤션은 건축 설계에서부터 인테리어, 플라워 데코레이션까지 세계 무대에서 활동한 디자이너들에 의해 완성되었습니다. 20년 넘게 대한민국의 웨딩 문화를 이끌어온 경영진이 뉴욕의 감성을 접목하여 만들어낸 명문가 웨딩의 명소 AW컨벤션으로 여러분을 초대합니다. AW컨벤션은 각 공간의 배치에서부터 소품에 이르기까지 뉴욕 Mitchell Giurgola Architect 출신 디자이너의 손길이 닿아 있습니다. 라운지와 각 층 로비에 걸린 조명 하나까지도 AW컨벤션만을 위해 제작된 작품들로 디스플레이 되어 있습니다.",,031-501-5900,"경기도 안산시 단원구 광덕1로 171, 3~5층 (고잔동,AW웨딩컨벤션)","18,149㎡(5,500평)","700~1,000대",,한식
낙원타코 안산중앙점,"전통 멕시코음식을 한국식으로 새롭게 해석하여 탄생한 파히타, 타코, 퀘사디아, 부리또15가지의 소스로 모두의 입맛을 사로잡을 낙원타코만의 멕시코 음식입니다",,031-401-0725,경기도 안산시 단원구 고잔2길 45,,,,양식
황소불화로구이,고기를 좋아해서 고깃집을 운영하게 되었다는 여 사장님은본인이 좋아하는 메뉴인 만큼 손님과 본인의 건강을 생각해 원가는 높지만참숯을 사용하고 고기도 가장 품질 좋은 고기를 낸단다.,,031-402-0920,경기도 안산시 단원구 광덕동로 101(고잔동),100석,공영주차장,연중무휴,한식
단야 중화요리,"단야는 정통중화요리 전문점입니다. 매일 신선한 고급 재료를 준비하여 손님을 맞이하고 있습니다. 특히 탕수육, 양장피, 팔보채 유린기 등 한국인이 좋아하는 메뉴가 맛있고 유명합니다. 각종 모임을 할 수 있는 단체석이 마련되어 있고 바로 앞 공원이 있어 가족들이 찾기에도 적합한 곳입니다.",,031-414-0064,경기도 안산시 상록구 예술광장로 19 성포타운 1층 105호~107호,45평,가능,,중식
구이명가 국민갈비,"구이명가 국민갈비는 소고기,돼지고기 구이전문점으로 최상등급의 고기를 싸고 맛있게 드실수있는 가성비맛집 입니다. 고기와함께 드실수있는 다양한 쌈채소 가 있고 서비스로 드리는 해물전골의 시원함이 고기와 소주의 최고의궁합을 자랑합니다. 아울러 친절한 서비스로 고객만족도가 높아 어떤분을 모시고 오더라도 마음이 편안한집입니다..",,031-416-3070,경기도 안산시 상록구 항가울로 70,단체 가능,가능,,한식
경복궁삼계탕 안산점,좋은재료와 위생은 요리의 기본이고 맛과 서비스는 고객에 대한 신뢰입니다,,031-475-3988,경기도 안산시 단원구 광덕1로 163,"165.24㎡, 150석",지하주차,,한식
동원횟집,"세계최대 조력발전소가 있는 시화호의 대표 회, 조개구이 음식점 동원횟집입니다. 관광버스도 들어갈 수 있는 넓은 주차장 완비되어 있습니다. 회, 조개구이, 바지락 칼국수, 영양굴밥, 주꾸미, 계절 별미 전어, 대하 등을 저렴한 가격에 맛보실 수 있습니다.",,031-881-8811,"경기도 안산시 단원구 대부황금로 1497, 209호 (대부북동)",,주차 완비,"AM 10:00 ~ AM 12:00, 연중무휴",횟집
마루야끼,마루야끼는 통으로 구워먹는 음식을 말합니다.  대나무통을 반으로 쪼개어 그 속에 얼리지 않고 양념도 하지 않은 고기가 상 위에 올라와  썰어먹는 재미가 있는 곳입니다.  화이트(적포도주)에 하루를 숙성시킨 통삼겹살 역시 도마에 썰어 구워먹습니다.  마루야끼는 천장이 넓고 실내가 환하며 깔끔합니다.,,031-480-3010,"경기도 안산시 단원구 광덕대로 145, 205호 (고잔동)","220㎡, 160석",200대,,한식
마포네숯불갈비,"엄격하게 선별하고 정성껏 요리합니다. 저렴하면서도 푸짐하게 최고 육질의 갈비살과 신선한 야채, 밑반찬을 드실 수 있습니다. 무엇보다 넓은 실내공간과 주차공간, 그리고 아이들을 위한 놀이시설도 마련되어 있습니다. 오시는 모든 분들이 편안하고 즐거운 시간을 가지시도록 항상 노력합니다.",,031-405-9282,경기도 안산시 단원구 와동공원로 142 (와동),"50평, 100석",주차완비,AM 11:00 ~ AM 3:00,한식
먹쇠장어,저희 업소는 국내산 민물장어를 전문하고 가격은 안산 또는 시흥에서 제일 저렴하게 판매하고 있습니다. 깨끗한 맛과 정성을 다해 모시겠습니다.,,031-485-5289,"경기도 안산시 단원구 꽃우물길 12 (화정동, 431 1층)","90평, 200석",주차 완비,오전 10:00~오후 10:00,한식
뜨락,"정갈하고 깔끔한 반찬 10여 가지가 돌솥밥과 함께 나와 누구나 부담없이 즐길 수 있습니다. 향이 강하지 않으면서 부드러운 맛을 느낄 수 있는 청국장과 깔끔한 맛을 내는 된장이  일품이며, 기름진 밥과 구수한 누룽지를 맛볼 수 있는 돌솥밥은 뜨락의 자랑입니다. 가족, 직장 등 각종 행사와 모임에 충분한 120여 석의 넓은 공간에서, 고객 한분 한분을 위한 친절하고 정성이 깃든 서비스로 모시겠습니다.",,031-418-2082,경기도 안산시 상록구 송호1길 69 (이동),"80㎡, 120석",주차 완비,,한식
무교뻘낙지,댕이골 초입에 위치한 낙지전문점입니다. 낙지는 부드럽고 담백한 맛과 타우린이 함유된 저칼로리 식품으로 콜레스테롤 양을 억제하고 빈혈예방에 효과가 탁월합니다. 낭만적인 음악과 아늑한 분위기에서 즐겁고 만족스러운 시간을 선사합니다.,,031-408-7305,경기도 안산시 상록구 댕이길 6 (사동),56석,주차 완비,,한식
명장한우,"전통을 살린 인테리어에서 편안하게 즐기실 수 있습니다. 다양한 규모의 예약석과 대형주차장이 완비되어 있으며, 항상 청결과 친절한 서비스를 위해 노력합니다.",,031-415-0068,"경기도 안산시 상록구 광덕1로 346, 301호 (이동)","150평, 180석",30대 주차 가능,"AM 11:00 ~ PM 11:00, 명절당일 휴무",한식
독일미,"안녕하세요. 경기도 안산시 맛집 독일미입니다. 독일미는 중국에 200여개의 가맹점을 보유한 프랜차이즈입니다. 정통 몽골식 양고기 요리를 제공하고 있습니다.  몽골식 양갈비와 양다리는 통째로 숯불에 구어 나오며 손님이 직접 잘라서 드실 수 있도록 제공됩니다. 20여가지의 다양한 꼬치종류도 준비되어 있습니다. 정갈한 맛과 정성스런 상차림, 최고의 서비스로 모시는 독일미, 맛집의 대명사.  최고의 맛으로 최상의 서비스를 드리는 독일미가 되겠습니다. 감사합니다.",,031-493-8666,"경기도 안산시 단원구 부부로2길 22-1 (원곡동, 749-3 1층)",126.04㎡,,오전 10:00~익일 새벽 01:00,중식
만해추어탕,27년의 오랜 전통을 자랑하며 항상 신선한 재료로 매일 직접 조리하며 오시는 한 분 한 분께 영양 가득한 음식을 정성스럽게 제공하고자 노력해왔습니다. 직접 승계 비법 전수로 언제나 변함없는 맛과 질 좋은 서비스로 보답하는 업소가 되겠습니다.,,031-492-7070,"경기도 안산시 단원구 황새바위길 3 (신길동, 294-2 1층)",123㎡,100대 가능,09:30~21:30,한식
맛수원왕갈비,수원 소생갈비와 수원 양념왕갈비는 수원 전통의 갈비로 수원에서 드셨던 맛과 양이 같고 한우등심은 국내산 1등급 또는 1등급 프러스로 좋은 마블링과 육질을 자랑하며 돼지갈비 역시 국내산으로 정성을 다하여 직접 손질하여 서비스하고 있습니다. 찾아주시면 최선을 다해 모시겠습니다.,,031-417-6635,"경기도 안산시 상록구 중보1길 18, 1층 (이동)",120석,가능,오전 10:30~ 오후 10:30,한식
대관령감자탕,손님들에게 가장 맛있는 감자탕집으로 불리는 이곳은대림 센트럴포레 상가로 이전한 지 얼마 안 되었지만단골들의 발길이 여전히 이어지고 있는 감자탕 전문 15년 된 찐 맛집이다.,오픈 후 곧바로 인기 맛집으로 등극,031-494-8878,경기도 안산시 단원구 화랑로 102(백운동),56석,상가 전용 주차장,매월 둘째 주 화요일,한식
명옥부대찌개,"자타가 공인하는 의정부부대찌개 10년 경력의 사모님이 직접 주방을 맡고 있으며 풍부한 햄, 소시지, 치즈, 신선한 야채 등의 재료와 어우러지는 진한 육수 그리고 맛의 비법인 다데기 양념을 사용하여 얼큰하고 담백하고 시원한 육수 맛이 진품입니다. 어른 아이 질리지 않고 먹을 수 있는 음식입니다, 안산 지역의 대표적인 부대찌개 전문 음식점입니다",,031-417-8686,"경기도 안산시 상록구 천문4길 15, 1층",,,,한식
몽차우,몽차우는 쫄깃한 면발을 즐길 수 있는 수타면 전문점입니다햇빛이 잘드는 밝은 실내로 넓고 편안한 분위기인데요주방이 오픈되어 있어 수타면 만드는 모습을 볼 수 있습니다해산물과 야채가 푸짐한 수타해물짬뽕바삭한 튀김의 북경 탕수육이 인기메뉴이지요,,031-487-0085,경기도 안산시 단원구 광덕대로 141,단체석 가능,,,중식
동방명주,동방명주는 동쪽지방에서 가장 빛나는 중국 음식점으로 동방명주에서 술 한잔에 밝은 기운을 얻으시라는 의미를 갖고 있습니다넓은 매장으로피로연 예약도 받고있습니다,,031-411-8595,경기도 안산시 단원구 광덕2로 155-12,,가능,,중식
